sid1,sid2,dist_m
3638,BL38,384.80
3640,BL37,326.42
3641,BL37,250.39
3643,BL36,459.12
3644,BL36,340.08
3645,BL36,58.79
3646,BL36,179.59
3648,BL35,393.63
3649,BL35,109.38
3650,BL35,201.46
3653,BL34,422.09
3655,S12,266.73
3655,BL34,345.12
3656,S12,443.52
3656,BL33,486.48
3657,BL33,38.20
3659,BL01,347.66
3660,BL01,270.91
3662,S10,350.83
3663,S10,262.23
3683,S10,212.09
3684,S10,316.91
3685,BL01,242.69
3686,BL01,297.42
3688,BL33,301.81
3689,S12,230.43
3689,BL34,307.58
3691,S12,448.44
3691,BL34,369.82
3693,BL35,279.14
3694,BL35,108.68
3695,BL36,187.83
3696,BL36,25.93
3697,BL36,447.69
3699,BL37,111.92
3700,BL37,320.48
3702,BL38,453.58
3703,BL38,194.93
3709,E21,237.03
3712,E19,350.40
3713,E19,64.89
3714,E18,187.63
3715,E18,317.16
3718,E17,279.08
3719,E17,145.60
3721,E16,140.53
3722,E16,268.34
3725,E14,365.28
3726,E13,452.58
3726,E14,373.85
3738,BL23,391.99
3748,E13,334.47
3750,E13,372.44
3750,E14,454.21
3752,E14,398.57
3756,E15,485.01
3757,E16,343.26
3758,E16,206.91
3761,E17,277.18
3764,E18,393.83
3765,E18,181.13
3766,E19,15.76
3767,E19,334.01
3772,E22,307.94
3773,E22,270.84
3774,E21,41.15
3777,PK06,332.41
3778,PK06,120.29
3779,PK06,349.92
3780,PK05,42.01
3782,PK04,225.79
3786,PK03,150.74
3789,PK01,422.65
3789,PK02,22.51
3802,N13,357.26
3802,N12,473.09
3803,N12,209.88
3804,N12,147.80
3805,N11,50.94
3806,N11,156.84
3807,N10,31.13
3808,N10,225.28
3809,N09,431.96
3810,N09,201.50
3811,N09,126.50
3811,BL14,195.88
3814,N08,26.06
3814,BL13,33.57
3815,N08,291.08
3815,BL13,296.91
3816,BL12,330.78
3819,BL12,434.98
3820,BL12,171.81
3822,N09,56.86
3822,BL14,266.65
3823,N09,384.38
3824,N10,311.41
3825,N10,91.83
3826,N11,65.90
3827,N12,151.94
3828,N12,232.83
3829,N13,403.18
3829,N12,447.99
3840,PK01,484.30
3840,PK02,148.51
3842,PK03,449.55
3843,PK03,247.24
3845,PK04,485.50
3846,PK04,255.92
3847,PK04,363.80
3848,PK05,25.27
3849,PK06,342.58
3856,S09,492.92
3857,S08,240.70
3859,G02,309.26
3860,G02,128.87
3860,G03,332.49
3861,G02,160.63
3861,G03,312.62
3862,G02,29.34
3862,G03,487.73
3863,G02,342.11
3865,S07,281.08
3865,G01,390.36
3867,S08,486.96
3880,N16,394.63
3881,N17,152.75
3881,PK16,54.98
3882,N16,453.67
3883,N16,157.69
3884,N16,178.09
3886,N15,499.98
3887,N15,21.72
3888,N15,248.96
3888,N14,492.27
3889,N15,496.95
3889,N14,244.24
3890,N14,258.93
3891,N13,103.30
3892,N13,102.88
3905,BL14,464.71
3906,N13,113.47
3907,N13,125.67
3908,N14,222.71
3909,N14,95.83
3910,N15,200.91
3913,N16,329.52
3914,N16,223.41
3916,N07,390.94
3916,BL12,389.79
3917,N07,107.53
3917,BL12,452.58
3922,N05,266.59
3923,N04,237.57
3925,N04,356.30
3935,BL06,327.49
3936,BL06,227.87
3937,BL05,231.51
3938,BL05,23.36
3942,BL04,18.93
3943,BL04,295.25
3944,BL03,259.86
3945,BL03,123.37
3946,BL03,90.12
3947,BL03,308.54
3951,BL02,143.77
3952,BL02,273.99
3954,BL01,105.97
3955,BL01,114.18
3956,BL02,268.64
3957,BL02,36.79
3961,BL03,327.75
3962,BL03,223.28
3963,BL03,119.72
3964,BL03,437.76
3965,BL04,134.92
3969,BL05,396.34
3970,BL05,26.37
3971,BL05,200.44
3973,BL06,306.12
3974,BL06,206.36
3983,N03,449.67
3987,N05,376.59
3987,N04,449.20
3992,N07,96.83
3992,BL12,438.74
4005,YL09,428.05
4006,YL09,168.67
4018,A05,459.29
4019,A05,264.38
4020,A05,341.29
4030,E08,455.85
4031,E08,228.67
4032,E08,355.77
4042,BL23,454.04
4043,BL24,179.33
4044,BL25,98.15
4046,S02,410.78
4046,BL26,150.89
4047,S02,203.25
4047,BL26,163.38
4048,S02,324.45
4048,BL26,468.32
4048,BL27,332.92
4049,BL27,406.74
4050,BL28,308.50
4051,BL28,409.45
4052,BL28,249.28
4056,S02,407.66
4056,BL27,257.49
4057,BL26,495.46
4058,BL25,133.52
4059,BL25,423.38
4060,BL24,30.02
4061,BL24,135.63
4062,BL23,430.54
4062,BL24,326.34
4072,E08,352.64
4073,E08,418.51
4082,A05,323.17
4083,A05,137.70
4084,A05,278.82
4085,A05,469.67
4099,YL09,182.22
4100,YL09,420.08
4120,YL13,86.51
4122,YL12,326.92
4124,YL11,470.89
4135,A05,207.72
4139,PK29,393.19
4140,PK29,288.74
4142,PP06,360.90
4154,N03,342.52
4155,N03,336.96
4156,N03,223.25
4157,N03,206.90
4166,G01,475.58
4167,G01,426.49
4179,A08,313.38
4179,N03,420.08
4179,N02,309.39
4180,N09,421.28
4180,BL14,144.30
4202,CEN_SU,328.04
4202,CEN_SI,328.04
4208,S02,425.64
4208,BL26,448.21
4208,BL27,409.11
4209,BL27,453.20
4211,CEN_SU,437.12
4211,CEN_SI,437.12
4212,CEN_SU,185.94
4212,CEN_SI,185.94
4214,PP14,440.17
4216,BL27,446.56
4220,BL18,489.57
4226,E16,17.97
4231,PK21,294.24
4242,N11,389.95
4242,N10,457.75
4246,YL07,18.45
4258,A05,413.59
4260,YL10,358.48
4261,YL10,353.19
4263,PK24,288.59
4264,YL13,457.47
4266,PK24,21.36
4267,BL27,50.76
4270,PK24,438.76
4271,PK25,37.76
4274,YL13,58.38
4275,YL13,488.84
4280,E21,481.71
4284,E03,426.15
4284,E04,237.86
4284,BL22,329.66
4286,A08,248.46
4286,N02,360.72
4290,S02,498.13
4290,BL27,132.33
4291,BL27,428.46
4308,S03,298.94
4309,S04,217.64
4309,S05,410.62
4310,S05,110.82
4317,S03,314.11
4329,S04,340.14
4329,S05,288.20
4330,S03,442.61
4330,S04,33.53
4337,BL28,283.08
4360,BL30,433.12
4368,S05,365.51
4368,S06,497.77
4421,PK11,69.71
4423,PK11,38.77
4425,PK11,429.67
4429,BL29,185.40
4430,BL11,199.07
4442,E03,341.71
4442,E04,322.43
4442,BL22,385.32
4443,E04,345.48
4443,BL22,379.06
4444,E05,312.37
4445,E06,362.34
4446,PK29,372.26
4452,E16,42.63
4515,E03,214.39
4538,E04,138.51
4538,BL22,242.35
4539,E06,268.02
4555,E07,462.50
4555,E08,373.69
4556,E07,342.44
4556,E08,494.11
4566,E08,450.07
4569,E08,471.74
4574,BL28,370.98
